ORIGIN,DESTINATION,CARRIER,DELAY,CANCELED,TIME,DISTANCE,COST
MZV,BWS,WN,111,1,294,2032,1138.97
PGJ,MZV,UA,74,0,226,1562,907.65
MZV,SKY,EV,197,0,68,476,231.64
PGJ,SKY,UA,165,1,36,250,313.26
ELW,MZV,HA,317,1,254,1756,297.44
BWS,PGJ,UA,185,0,207,1431,848.3
PGJ,ELW,HA,134,1,40,278,215.43
SKY,PGJ,OO,296,0,36,250,241.74
MZV,ELW,EV,327,0,254,1756,316.73
SKY,MZV,MQ,201,0,68,476,222.27
BWS,ELW,HA,307,0,371,2563,342.23
PGJ,MZV,DL,117,0,226,1562,305.92
PGJ,SKY,EV,365,1,36,250,216.62
SKY,MZV,EV,40,0,68,476,231.64
ELW,BWS,MQ,261,1,371,2563,319.89
MZV,PGJ,AL,1,0,333,333,333
MZP,PGJ,AL,1,0,333,333,333
MZP,LAX,MQ,111,1,876,878,888
